Date,Soybeans,Corn,Wheat (SRW),Wheat (HRW),Wheat (HRS),Soybean Meal,Soybean Oil,Coffee,Cotton,Cocoa,Sugar,Live Cattle,Feeder Cattle,Lean Hogs,Butter,Cheese,Milk,Orange Juice,Oats,Rough Rice,Crude Oil WTI,Brent Crude,Natural Gas,Heating Oil,Gasoline RBOB,Gold,Silver,Copper,Platinum,Palladium,Aluminium,Lumber,Ethanol
2005-10-24,575.0,199.5,323.25,365.25,,169.89999389648438,23.760000228881836,103.1500015258789,54.029998779296875,1408.0,11.630000114440918,88.375,115.8499984741211,60.95000076293945,164.75,,,111.8499984741211,168.5,718.0,60.31999969482422,,13.003999710083008,1.7972999811172485,1.5815999507904053,465.0,7.668000221252441,1.9234999418258667,930.2999877929688,212.3000030517578,,289.8999938964844,2.0299999713897705
2005-10-25,578.0,199.5,325.5,370.25,,170.89999389648438,23.780000686645508,103.69999694824219,55.22999954223633,1403.0,11.819999694824219,88.8499984741211,115.75,61.20000076293945,164.75,,,115.25,167.0,724.0,62.439998626708984,,14.338000297546387,1.8898999691009521,1.6538000106811523,472.79998779296875,7.7870001792907715,1.9644999504089355,943.5999755859375,220.0500030517578,,292.79998779296875,2.0999999046325684
2005-10-26,571.5,198.25,323.5,372.75,,169.3000030517578,23.530000686645508,101.69999694824219,54.7599983215332,1418.0,11.779999732971191,88.07499694824219,115.80000305175781,60.07500076293945,164.5,,,112.6500015258789,163.25,706.0,60.65999984741211,,14.039999961853027,1.8560999631881714,1.5844999551773071,471.20001220703125,7.824999809265137,1.968000054359436,943.0,229.1999969482422,,294.3999938964844,2.140000104904175
2005-10-27,571.0,197.75,324.5,378.25,,170.5,23.3799991607666,100.1500015258789,52.130001068115234,1415.0,11.779999732971191,88.25,115.69999694824219,59.45000076293945,164.5,,,115.1500015258789,163.0,714.0,61.09000015258789,,13.831999778747559,1.8538999557495117,1.5925999879837036,473.79998779296875,7.802000045776367,1.934000015258789,942.4000244140625,227.4499969482422,,304.3999938964844,2.1600000858306885
2005-10-28,565.0,197.0,317.75,376.0,,168.8000030517578,23.329999923706055,98.3499984741211,52.52000045776367,1382.0,11.609999656677246,89.0,115.80000305175781,60.95000076293945,164.5,,,116.4000015258789,162.75,710.0,61.220001220703125,,13.055000305175781,1.843500018119812,1.6241999864578247,473.0,7.789999961853027,1.8960000276565552,,230.3000030517578,,304.8999938964844,2.200000047683716
2005-10-31,564.75,196.25,317.0,371.25,,169.6999969482422,22.860000610351562,96.6500015258789,51.869998931884766,1351.0,11.329999923706055,88.5,115.8499984741211,61.67499923706055,164.0,,,116.69999694824219,158.75,712.0,59.7599983215332,,12.204999923706055,1.7697999477386475,1.5261000394821167,465.1000061035156,7.550000190734863,1.8960000276565552,,227.14999389648438,,310.5,2.2200000286102295
2005-11-01,574.5,196.75,317.0,368.75,,173.5,23.020000457763672,97.0999984741211,52.11000061035156,1368.0,11.25,89.92500305175781,115.4749984741211,60.849998474121094,,,,115.69999694824219,160.75,729.0,59.849998474121094,,11.859999656677246,1.8049999475479126,1.603600025177002,458.79998779296875,7.441999912261963,1.8960000276565552,,223.39999389648438,,302.8999938964844,2.2300000190734863
2005-11-02,573.5,196.0,313.0,360.5,,173.89999389648438,22.84000015258789,101.05000305175781,52.290000915527344,1369.0,11.470000267028809,90.30000305175781,115.5250015258789,61.79999923706055,,,,119.0,162.0,737.0,59.75,,11.604000091552734,1.7828999757766724,1.569100022315979,462.79998779296875,7.5320000648498535,1.9019999504089355,,228.64999389648438,,299.29998779296875,2.190000057220459
2005-11-03,591.75,196.25,313.25,362.5,,178.3000030517578,23.530000686645508,103.75,51.72999954223633,1376.0,11.539999961853027,90.9000015258789,116.07499694824219,61.875,,,,119.05000305175781,166.25,745.0,61.779998779296875,,11.689000129699707,1.8336000442504883,1.6267999410629272,460.1000061035156,7.5970001220703125,1.9049999713897705,,231.89999389648438,,315.20001220703125,2.130000114440918
2005-11-04,580.5,195.5,311.25,366.75,,176.1999969482422,22.940000534057617,103.9000015258789,51.439998626708984,1344.0,11.5600004196167,91.4749984741211,116.07499694824219,62.275001525878906,,,,121.80000305175781,167.75,752.0,60.58000183105469,,11.414999961853027,1.7962000370025635,1.6080000400543213,456.29998779296875,7.546999931335449,1.933500051498413,,226.35000610351562,,316.3999938964844,2.174999952316284
